0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:10 +0530] "GET /WeChatFrontend/images/chat1.jpg HTTP/1.1" 200 140449
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:12 +0530] "GET /WeChatFrontend/views/login.html HTTP/1.1" 200 2577
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:23 +0530] "POST /WeChatBackend/login HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:23 +0530] "GET /WeChatBackend/getimage/lakshmi HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:28 +0530] "GET /WeChatFrontend/views/listofpendingrequests.html HTTP/1.1" 200 746
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:28 +0530] "GET /WeChatBackend/getpendingrequests HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:28 +0530] "GET /WeChatBackend/getsuggestedusers HTTP/1.1" 200 1369
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:48 +0530] "GET /WeChatFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:49 +0530] "GET /WeChatFrontend/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:49 +0530] "GET /WeChatFrontend/controller/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:49 +0530] "GET /WeChatFrontend/service/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:49 +0530] "GET /WeChatFrontend/service/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:49 +0530] "GET /WeChatFrontend/controller/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:49 +0530] "GET /WeChatFrontend/controller/friendcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:49 +0530] "GET /WeChatFrontend/service/blogpostservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:49 +0530] "GET /WeChatFrontend/controller/blogpostcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:49 +0530] "GET /WeChatFrontend/service/friendservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:49 +0530] "GET /WeChatFrontend/controller/blogpostdetailcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:49 +0530] "GET /WeChatBackend/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:49 +0530] "GET /WeChatFrontend/images/12s.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:49 +0530] "GET /WeChatBackend/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:50 +0530] "GET /WeChatFrontend/views/listofpendingrequests.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:50 +0530] "GET /WeChatBackend/getimage/lakshmi HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:50 +0530] "GET /WeChatBackend/getsuggestedusers HTTP/1.1" 200 1369
